Original sample number,Handle,Site name,scientificName,order,superfamily*,family,subfamily*,genus,specificEpithet,scientificNameAuthorship,organismQuantity,lifeStage,sex,sexRatio*,males,females,males and females text,recordedBy,continent,waterBody,islandGroup,island,country,stateProvince,municipality,locality,verbatimLocality,geodeticDatum,decimalLatitude,decimalLongitude,verbatimElevation,typeLocality*,verbatimDepth,year,month,day,eventDate,habitat,substrate*,vegetation*,temperature*,pH*,conductivity*,salinity*,dissolved oxygen*,basisOfRecord,nameInPaper,bibliographicCitation,comments*
,EA000001,Suwa-Temple,"Hemicypris kaufmanni (Vávra, 1906)",Podocopida,Cypridoidea,Cyprididae,Cyprinotinae,Hemicypris,kaufmanni,"(Vávra, 1906)",,,,,,,,"Vávra, W.",Asia,,Japanese archipelago,Kyushu,Japan,Nagasaki Prefecture,Nagasaki,Kaminishiyamamachi,Suwa-Temple,,32.754291,129.881935,55,,,1902,09,14,1902/09/14,container,,,,,,,,published record,Cyprinotus kaufmanni n. sp.,"Vávra, W. 1906. Ostracoden von Sumatra, Java, Siam, dem Sandwich-Inseln und Japan. Zoologische Jahrbücher. Abteilung für Systematik, Geographie und Biologie der Tiere, 23, 413–436. ",Collected from a water basin in a temple. Vávra spelt the name of the temple incorrectly as Osawa.
,EA000002,Near Tokyo,"Candona subgibba Sars, 1926",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,subgibba,"Sars, 1926",1,adult,female,,,1,1 female,"Sars, G. O.",Asia,,Japanese archipelago,Honshu,Japan,Tokyo,,,near Tokyo,,35.680484,139.751626,,,,1926,,,1926//,pond,,,,,,,,published record,"Candona subgibba, n. sp.","Sars, G.O. 1926. Freshwater Ostracoda from Canada and Alaska. Report of the Canadian Arctic Expedition 1913-18, Vol. VII: Crustacea, Part 1: Ostracoda, 2-23.",Coordinates approximate.
,EA000003,Uemura Oike,"Notodromas trulla Smith & Kamiya, 2014",Podocopida,Cypridoidea,Notodromadidae,Notodromadinae,Notodromas,trulla,"Smith & Kamiya, 2014",,,,,,,,"Brehm, V.",Asia,Uemura Oike ,Japanese archipelago,Honshu,Japan,Nagano Prefecture,Shimoina-gun,Kami-mura,Uemura Oike (Kamimura Oike),,35.430000,138.000000,,,,1929,08,26,1929/08/26,lake,,,,,,,,published record,Notodromas monacha O. F. Muelle.,"Brehm, V. 1933. Einige japanische Ostracoden. Transactions of the Natural History Society of Formosa, 23, 297–298.",Coordinates approximate.
,EA000004,Kajiyashiki,"Notodromas trulla Smith & Kamiya, 2014",Podocopida,Cypridoidea,Notodromadidae,Notodromadinae,Notodromas,trulla,"Smith & Kamiya, 2014",,,,,,,,"Brehm, V.",Asia,,Japanese archipelago,Honshu,Japan,Niigata Prefecture,Itoigawa-shi,Kajiyashiki,,,37.058100,137.909694,,,,1933,,,1933//,pond,,,,,,,,published record,Notodromas monacha O. F. Muelle.,"Brehm, V. 1933. Einige japanische Ostracoden. Transactions of the Natural History Society of Formosa, 23, 297–298.",Coordinates approximate.
,EA000005,Hirowagara,"Cryptocandona brehmi (Klie, 1934)",Podocopida,Cypridoidea,Candonidae,Candoninae,Cryptocandona,brehmi,"(Klie, 1934)",,,female,,,,females,"Klie, Walter",Asia,,Japanese archipelago,Honshu,Japan,Gunma Prefecture,Kanra District,"Shimonita, Hirowagara","Hirowagara (Miniami-saku-gun),Prov. Shinano, Japan",,36.254729,138.754806,,,,1933,08,11,1933/08/11,cave,,,,,,,,published record,Candona brehmi n. sp.,"Klie, W. 1934. Zwei neue subterrane Ostracoden der Gattung Candona. Zoologischer Anzeiger, 106 (9), 193–199.","Pool in cave. The locality is confusing: Hirowagara, Shimano province, and Minamisaku-gun are three separate places. Coordinates given for Hirowagara (near station)."
,EA000006,Ussuriisk,"Bradleystrandesia reticulata (Zaddach, 1844) ",Podocopida,Cypridoidea,Cyprididae,Cypricercinae,Bradleystrandesia,reticulata,"(Zaddach, 1844) ",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Primorsky Krai,Ussuriisk,,,,43.807434,131.948869,,,,1947,,,1947//,,,,,,,,,published record,Eucypris affinis (Fisch.),"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000007,Lake Dal’noe,"Candona candida (O. F. Müller, 1776)",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,candida,"(O. F. Müller, 1776)",,,,,,,,"Krokhin, E. M.",Asia,Lake Dal’neye,,,Russia,Kamchatka Krai,Yelizovsky District,Lake Dal’neye,Lake Dal’noe,,52.933442,158.349221,,,,1947,,,1947//,lake,,,,,,,,published record,Candona candida (O. F. Müller),"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",See under Candona krochini in Bronstein 1947
,EA000008,Verkhoyansk,"Candona inaequivalvis Sars, 1899",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,inaequivalvis,"Sars, 1899",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Sakha Republic,Verkhoyansk,,,,67.550590,133.399399,,,,1947,,,1947//,,,,,,,,,published record,Candona inaequivalvis G. O. Sars,"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000009,Lake Dal’noe,"Candona krochini Bronstein, 1947",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,krochini,"Bronstein, 1947",,,,,,,,"Krokhin, E. M.",Asia,Lake Dal’neye,,,Russia,Kamchatka Krai,Yelizovsky District,Lake Dal’neye,Lake Dal’noe,,52.933442,158.349221,,,,1947,,,1947//,lake,,,,,,,,published record,"Candona krochini, sp. n.","Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",
,EA000010,Lake Dal’noe,"Candona lepnevae Bronstein, 1947",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,lepnevae,"Bronstein, 1947",,,,,,,,"Krokhin, E. M.",Asia,Lake Dal’neye,,,Russia,Kamchatka Krai,Yelizovsky District,Lake Dal’neye,Lake Dal’noe,,52.933442,158.349221,,,,1947,,,1947//,lake,,,,,,,,published record,"Candona lepnevae, sp. n.","Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",See under Candona krochini in Bronstein 1947
,EA000011,Verkhoyansk,"Candona oblonga Sars, 1899",Podocopida,Cypridoidea,Candonidae,Candoninae,Candona,oblonga,"Sars, 1899",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Sakha Republic,Verkhoyansk,,Environs of Berkhoyansk [sic],,67.550590,133.399399,,,,1947,,,1947//,,,,,,,,,published record,Candona oblonga G. O. Sars,"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000012,Verkhoyansk,"Candonopsis kingsleii (Brady & Robertson, 1870)",Podocopida,Cypridoidea,Candonidae,Candoninae,Candonopsis,kingsleii,"(Brady & Robertson, 1870)",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Sakha Republic,Verkhoyansk,,Environs of Verkhoyansk,,67.550590,133.399399,,,,1947,,,1947//,,,,,,,,,published record,Candonopsis kingsleii (Brady & Robertson),"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000013,Verkhoyansk,"Cypria ophtalmica (Jurine, 1820)",Podocopida,Cypridoidea,Candonidae,Cyclocypridinae,Cypria,ophtalmica,"(Jurine, 1820)",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Sakha Republic,Verkhoyansk,,,,67.550590,133.399399,,,,1947,,,1947//,,,,,,,,,published record,Cypria ophthalmica (Jurine),"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000014,Ussuriisk,"Eucypris crassa (O.F. Müller, 1785)",Podocopida,Cypridoidea,Cyprididae,Eucypridinae,Eucypris,crassa,"(O.F. Müller, 1785)",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Primorsky Krai,Ussuriisk,,,,43.807434,131.948869,,,,1947,,,1947//,,,,,,,,,published record,Eucypris crassa (O. F. Müller),"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000015,Ussuriisk,"Pseudocandona pratensis (Hartwig, 1901)",Podocopida,Cypridoidea,Candonidae,Candoninae,Pseudocandona,pratensis,"(Hartwig, 1901)",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Primorsky Krai,Ussuriisk,,Siberia from the East to Voroshilov of Ussuriisk,,43.807434,131.948869,,,,1947,,,1947//,,,,,,,,,published record,Candona pratensis Hartwig,"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000016,Verkhoyansk,"Pseudocandona rostrata (Brady & Norman, 1889)",Podocopida,Cypridoidea,Candonidae,Candoninae,Pseudocandona,rostrata,"(Brady & Norman, 1889)",,,,,,,,"Bronstein, Z. S.",Asia,,,,Russia,Sakha Republic,Verkhoyansk,,,,67.550590,133.399399,,,,1947,,,1947//,,,,,,,,,published record,Candona rostrata Brady and Norm.,"Bronstein, Z.S. (1947) Ostracoda Presnykh Vod. Fauna SSSR, Rakoobraznye, Tom 2, Vyp. 1.(Zoologicheskii Institut, Akademiya Nauk SSSR, Moscow). English translation 1988: Fresh-water Ostracoda. Fauna of the USSR. Crustaceans. Vol. 2. No. 1. Amerind Publishing Co. Pvt. Ltd., New Delhi, xv + 470 pp.",Coordinates approximate.
,EA000017,Kitovaya Bay,"Terrestricythere ivanovae Schornikov, 1969",Podocopida,Terrestricytheroidea,Terrestricytheridae,,Terrestricythere,ivanovae,"Schornikov, 1969",85,,male | female,,,,85 males & females,"Schornikov, Eugen, I.",Asia,,Kuril Islands,"Etorofu
",Japan,Hokkaido,Nemuro,"Shana (Kitovaya)
",200m SW of entrance to Kitovaya Bay,,45.254204,147.882471,0,,,1967,07,03,1967/07/03,supralittoral,,,,,,,,published record,Terrestricythere ivanovae sp. n.,"Schornikov, E. I. 1969. A new family of Ostracoda from the supralittoral zone of Kuril Islands. Zoological Journal, 48 (4), 494–498. [In Russian]",
