GENUS,SPECIES,SUBSPECIES,AUTHOR,YEAR,PUBLISHED?,REFERENCE,NAME IN REFERENCE,LONDEG,LONMIN,LONSEC,LATDEG,LATMIN,LATSEC,COUNTRY,REGION,LOCALITY,SITE,DAY,MONTH,YEAR,NO SPEC,MALES?,SEX RATIO,ALTITUDE,DEPTH,pH,TEMP,COND,ENVIRONMENT,NATURAL HABITAT,ARTIFICIAL HABITAT,DURATION,WATER CHEMISTRY,SUBSTRATE,VEGETATION,AGE,ZONE OF COLL,COMMENTS,VALIDATION STATUS OF COORDINATES
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F. Mueller),-2,-9,-52,54,5,47,England,North Yorkshire,Malham Tarn,,,,,,U,,380,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F.Mueller),-2,-9,-52,54,5,47,England,North Yorkshire,Malham Tarn,,,,,,U,,380,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Herpetocypris,reptans,,(Baird),1835,1,Fryer 1993,Herpetocypris reptans (Baird),-2,-9,-52,54,5,47,England,North Yorkshire,Malham Tarn,,,,,,U,,380,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),-2,-9,-52,54,5,47,England,North Yorkshire,Malham Tarn,,,,,,U,,380,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Limnocythere,sanctipatricii,,(Brady & Robertson),1869,1,Fryer 1993,Limnocythere sanctipatrici Brady & Robertson,-2,-9,-52,54,5,47,England,North Yorkshire,Malham Tarn,,,,,,U,,380,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candona,candida,,(O.F. Mueller),1776,1,Fryer 1993,Candona candida (O.F. Mueller),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Candona,weltneri,,Hartwig,1899,1,Fryer 1993,Candona weltneri Hartwig,-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Neglecandona,neglecta,,(Sars),1887,1,Fryer 1993,Candona neglecta Sars,-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Pseudocandona,rostrata,,(Brady & Norman),1889,1,Fryer 1993,Candona rostrata Brady & Norman,-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Fabaeformiscandona,fabaeformis,,(Fischer),1851,1,Fryer 1993,Candona fabaeformis Fischer,-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,laevis,,(O.F. Mueller),1776,1,Fryer 1993,Cyclocypris laevis (O.F. Muller),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,ovum,,(Jurine),1820,1,Fryer 1993,Cyclocypris ovum (Jurine),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cyclocypris,serena,,(Koch),1838,1,Fryer 1993,Cyclocypris serena (Koch),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Cypria,ophtalmica,,(Jurine),1820,1,Fryer 1993,Cypria ophthalmica (Jurine),-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
Ilyocypris,bradyi,,Sars,1890,1,Fryer 1993,Ilyocypris bradyi Sars,-2,-7,-30,54,16,50,England,North Yorkshire,Semerwater,,,,,,U,,253,,,,,LENTIC,LAKE,,PERMANENT,FRESHWATER,,,POST_LAST_GLACIATION,,,green
