siteid,sitename,reference,doi,collunitid,handle,discovery,analysisunitid,analysisunitname,labnumber,uncal14Cage,uncal14Cerr,>,materialdated,taxondated,elementdated,depth,notes,method,d13C,%C,%N,C:N
295,Boney Spring,12710,,7236,BONEYSPF,CARD,84443,Assemblage,AA-97874,11619,72,FALSE,"Bone, Mammut americanum",Mammut americanum,,,,accelerator mass spectrometry,-20.7,,,
295,Boney Spring,12710,,7236,BONEYSPF,CARD,84443,Assemblage,AA-101549,11660,130,0,"Bone, Mammut americanum",Mammut americanum,,,,accelerator mass spectrometry,-20.9,,,
337,Carter Site,Buckley 1975,https://doi.org/10.1017/S003382220000120X,4435,CARTERF,CARD,80108,Marl,I-5843,10230,150,0,"Wood, Picea sp.",,,,"peat layer associated with a mastodon rib and adjacent to moose-elk bones, ca. 1.5 m below datum",conventional radiometric,-25,,,
3539,Alibates,University of Wisconsin Radiocarbon Dates II,https://doi.org/10.1017/S0033822200000333,4422,ALIBATES,lit search,80066,Cultural unit,WIS-101,600,70,0,charcoal,,,,specimen extracted with petroleum ether due to possible paraffin contamination,conventional radiometric,,,,
3539,Alibates,University of Wisconsin Radiocarbon Dates III,https://doi.org/10.1017/S0033822200000710,4422,ALIBATES,lit search,80066,Cultural unit,Wis-116,630,70,0,charcoal,,,,,conventional radiometric,,,,
3539,Alibates,University of Wisconsin Radiocarbon Dates III,https://doi.org/10.1017/S0033822200000710,4422,ALIBATES,lit search,80066,Cultural unit,Wis-114,600,75,0,charcoal,,,,specimen extracted with petroleum ether due to possible paraffin contamination,conventional radiometric,,,,
3539,Alibates,University of Wisconsin Radiocarbon Dates III,https://doi.org/10.1017/S0033822200000710,4422,ALIBATES,lit search,80066,Cultural unit,Wis-129,770,75,0,charcoal,,,,,conventional radiometric,,,,
3539,Alibates,UNIVERSITY OF TEXAS RADIOCARBON DATES IV,https://doi.org/10.1017/S0033822200000291,4422,ALIBATES,lit search,80066,Cultural unit,Tx-259,480,80,0,charcoal,,,,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-394,0,0,0,bone,,,Level 4,Bison bison,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-408,620,45,0,charcoal,,,Level 3,,conventional radiometric,,,,
3540,Canyon City Club Cave [A251],University of Wisconsin Radiocarbon Dates IX,https://doi.org/10.1017/S0033822200008584,4423,CANCTYCL,lit search,80067,Cultural unit,WIS-403,670,50,0,charcoal,,,Level 2,,conventional radiometric,,,,
